model,qwk_mean,qwk_std,acc_mean,acc_std,f1_mean,f1_std,mae_mean,mae_std,regime
mlp_ce,0.5185999741401558,0.038537744043082724,0.6255640088265324,0.021954590478011266,0.3625795061189581,0.045467305656365524,0.5717056944307217,0.039802663174856895,5-fold CV within Messidor-2 (n=1744)
mlp_mse,0.5381223452906927,0.029295385050614534,0.4839245133880052,0.03310627309486747,0.3666939326535202,0.021493462626102623,0.5997892171392813,0.02162421860256735,5-fold CV within Messidor-2 (n=1744)
capsnet_vanilla,0.5001280569964971,0.06477540013353117,0.6095247505187235,0.025491092658362188,0.3272104648776305,0.04329137572760849,0.5768501136251358,0.029603499872874032,5-fold CV within Messidor-2 (n=1744)
ordinal_capsnet,0.6020990411470015,0.04535694452534244,0.5773902447057273,0.029638927397651626,0.4409692636934753,0.024684641254139324,0.5447683035273194,0.05206050722307678,5-fold CV within Messidor-2 (n=1744)
cross_mlp_ce,0.0017110978844681046,0.0008330933509349319,0.5837155963302753,nan,0.14854072963518242,nan,0.760894495412844,nan,APTOS train → Messidor-2 test (ensemble of 5 folds)
cross_mlp_mse,0.005129919142589867,0.0039174931924712345,0.5825688073394495,nan,0.14740660137830977,nan,0.760894495412844,nan,APTOS train → Messidor-2 test (ensemble of 5 folds)
cross_capsnet_vanilla,0.0009840271449224058,0.003446635433639452,0.5825688073394495,nan,0.14729974628488582,nan,0.7631880733944955,nan,APTOS train → Messidor-2 test (ensemble of 5 folds)
cross_ordinal_capsnet,0.01716119040417574,0.018500590302048692,0.5825688073394495,nan,0.14762077733381765,nan,0.757454128440367,nan,APTOS train → Messidor-2 test (ensemble of 5 folds)
