Grade,Vanilla_%,Ordinal_%,Delta_pp,Note
0 (No DR),47.6,30.6,-17.1,Regression
1 (Mild),0.0,12.0,+12.0,Major improvement
2 (Moderate),55.6,51.2,-4.4,Minor drop
3 (Severe),38.9,52.6,+13.7,Major improvement
4 (PDR),20.0,15.4,-4.6,Minor drop
