dataset,model,alpha,score,coverage_mean,coverage_std,set_size_mean,set_size_std,noncontiguous_rate_mean,worst_class_coverage_mean
Messidor-2,RETFound x Ordinal CapsNet,0.05,lac,0.953899,0.009157,2.779358,0.075150,0.058028,0.802934
Messidor-2,RETFound x Ordinal CapsNet,0.05,aps,0.954358,0.006544,2.973853,0.062583,0.142202,0.824592
Messidor-2,RETFound x Ordinal CapsNet,0.05,raps,0.951376,0.007798,2.950459,0.076333,0.143578,0.789216
Messidor-2,RETFound x Ordinal CapsNet,0.05,ocp,0.950688,0.004103,3.000688,0.049605,0.000000,0.744118
Messidor-2,RETFound x MLP + K-1 sigmoid,0.10,lac,0.903899,0.012036,2.299771,0.049832,0.009174,0.599142
Messidor-2,RETFound x MLP + K-1 sigmoid,0.10,aps,0.902064,0.008722,2.483945,0.063846,0.038073,0.702533
Messidor-2,RETFound x MLP + K-1 sigmoid,0.10,raps,0.901147,0.008440,2.496101,0.067979,0.038303,0.696283
Messidor-2,RETFound x MLP + K-1 sigmoid,0.10,ocp,0.906422,0.006511,2.509633,0.057278,0.000000,0.686520
Messidor-2,RETFound x MLP + K-1 sigmoid,0.05,lac,0.958028,0.007696,2.907339,0.076540,0.005046,0.812092
Messidor-2,RETFound x MLP + K-1 sigmoid,0.05,aps,0.949083,0.006750,2.994725,0.070382,0.032569,0.787195
Messidor-2,RETFound x MLP + K-1 sigmoid,0.05,raps,0.948394,0.006881,3.002064,0.066027,0.034174,0.755229
Messidor-2,RETFound x MLP + K-1 sigmoid,0.05,ocp,0.949312,0.008377,3.032339,0.079615,0.000000,0.737908
Messidor-2,DINOv2  x Ordinal CapsNet,0.10,lac,0.902752,0.007892,1.853670,0.026744,0.041055,0.608824
Messidor-2,DINOv2  x Ordinal CapsNet,0.10,aps,0.894954,0.004734,2.031422,0.030164,0.099083,0.653922
Messidor-2,DINOv2  x Ordinal CapsNet,0.10,raps,0.895872,0.007925,2.036239,0.037886,0.101606,0.653922
Messidor-2,DINOv2  x Ordinal CapsNet,0.10,ocp,0.891743,0.005739,2.032798,0.037383,0.000000,0.631046
Messidor-2,DINOv2  x Ordinal CapsNet,0.05,lac,0.952982,0.008551,2.353899,0.071575,0.050229,0.688562
Messidor-2,DINOv2  x Ordinal CapsNet,0.05,aps,0.950229,0.007865,2.607798,0.059412,0.147477,0.665686
Messidor-2,DINOv2  x Ordinal CapsNet,0.05,raps,0.951376,0.008570,2.622706,0.068800,0.147706,0.665686
Messidor-2,DINOv2  x Ordinal CapsNet,0.05,ocp,0.946789,0.005963,2.569725,0.036268,0.000000,0.653922
Messidor-2,DINOv2  x MLP + K-1 sigmoid,0.10,lac,0.902982,0.006222,1.833486,0.022123,0.006422,0.682353
Messidor-2,DINOv2  x MLP + K-1 sigmoid,0.10,aps,0.904358,0.009961,2.030963,0.068116,0.037385,0.615033
Messidor-2,DINOv2  x MLP + K-1 sigmoid,0.10,raps,0.905275,0.008446,2.026835,0.063671,0.035780,0.592157
Messidor-2,DINOv2  x MLP + K-1 sigmoid,0.10,ocp,0.902523,0.012520,2.015596,0.066524,0.000000,0.603268
Messidor-2,DINOv2  x MLP + K-1 sigmoid,0.05,lac,0.951835,0.009918,2.332569,0.075775,0.007798,0.682353
Messidor-2,DINOv2  x MLP + K-1 sigmoid,0.05,aps,0.954817,0.006264,2.556881,0.057292,0.058486,0.737908
Messidor-2,DINOv2  x MLP + K-1 sigmoid,0.05,raps,0.954587,0.007965,2.540826,0.060246,0.042202,0.721242
Messidor-2,DINOv2  x MLP + K-1 sigmoid,0.05,ocp,0.953670,0.007275,2.567202,0.088719,0.000000,0.721242
