model,sensitivity,specificity,auc,f1,threshold,youden_threshold,youden_sensitivity,youden_specificity
cross_mlp_ce,0.002188183807439825,1.0,0.5852261038256662,0.004366812227074236,0.5,1.6334172903142985e-09,0.3851203501094092,0.7482517482517482
cross_mlp_mse,0.010940919037199124,0.9992229992229992,0.5655069462509288,0.02159827213822894,0.5,0.10825878381729126,0.24507658643326038,0.8593628593628594
cross_capsnet_vanilla,0.045951859956236324,0.9914529914529915,0.5701885034488974,0.08588957055214724,0.5,0.25275468826293945,0.3172866520787746,0.8445998445998446
cross_ordinal_capsnet,0.019693654266958426,0.9992229992229992,0.6201877383496639,0.03854389721627409,0.5,0.19986291229724884,0.2538293216630197,0.9261849261849262
