model,qwk_mean,qwk_std,acc_mean,acc_std,f1_mean,f1_std,mae_mean,mae_std,regime
mlp_ce,0.40777961702518484,0.05837281109006625,0.4368932038834951,0.03684206982720443,0.31845034143986645,0.03606576649679398,0.9766990291262136,0.060972110555757575,5-fold CV → IDRiD test (n=103)
mlp_mse,0.4613781361327132,0.028940907773524923,0.31844660194174756,0.024096453681535658,0.2716222353287594,0.028539866136159414,0.9339805825242719,0.03214164147038222,5-fold CV → IDRiD test (n=103)
capsnet_vanilla,0.4123871748074537,0.05829697708439589,0.42718446601941745,0.02746045752180768,0.32299993875077837,0.016566885693106756,0.978640776699029,0.06303954594465215,5-fold CV → IDRiD test (n=103)
ordinal_capsnet,0.4232033896636369,0.019200561473491997,0.3825242718446602,0.011650485436893199,0.3179407983323907,0.015566302366847638,0.9766990291262136,0.011650485436893199,5-fold CV → IDRiD test (n=103)
cross_aptos_to_idrid,0.2787780855647891,0.0389119836404581,0.33980582524271846,nan,0.23598506401137978,nan,1.029126213592233,nan,APTOS train → IDRiD test (no IDRiD training)
